t(ticks)	;	nlug	;	id_viat	;	observ
25925	;	50	;	435	;	saida
25948	;	49	;	400	;	estacionamento
25982	;	50	;	400	;	saida
26003	;	49	;	404	;	estacionamento
26031	;	50	;	404	;	saida
26052	;	49	;	416	;	estacionamento
26065	;	50	;	416	;	saida
26087	;	49	;	419	;	estacionamento
26096	;	50	;	419	;	saida
26117	;	49	;	421	;	estacionamento
26169	;	50	;	421	;	saida
26190	;	49	;	432	;	estacionamento
26233	;	50	;	432	;	saida
26266	;	49	;	438	;	estacionamento
26299	;	50	;	438	;	saida
26322	;	49	;	456	;	estacionamento
26359	;	50	;	456	;	saida
26381	;	49	;	458	;	estacionamento
26388	;	50	;	458	;	saida
26410	;	49	;	410	;	estacionamento
26427	;	50	;	410	;	saida
26450	;	49	;	447	;	estacionamento
26477	;	50	;	447	;	saida
26499	;	49	;	395	;	estacionamento
26516	;	50	;	395	;	saida
26537	;	49	;	431	;	estacionamento
26560	;	50	;	431	;	saida
26581	;	49	;	461	;	estacionamento
26593	;	50	;	461	;	saida
26615	;	49	;	401	;	estacionamento
26653	;	50	;	401	;	saida
26678	;	49	;	407	;	estacionamento
26711	;	50	;	407	;	saida
26733	;	49	;	424	;	estacionamento
26766	;	50	;	424	;	saida
26787	;	49	;	389	;	estacionamento
26820	;	50	;	389	;	saida
26841	;	49	;	406	;	estacionamento
26859	;	50	;	406	;	saida
26880	;	49	;	417	;	estacionamento
26927	;	50	;	417	;	saida
26948	;	49	;	439	;	estacionamento
26965	;	50	;	439	;	saida
26986	;	49	;	388	;	estacionamento
27028	;	50	;	388	;	saida
27053	;	49	;	394	;	estacionamento
27076	;	50	;	394	;	saida
27098	;	49	;	403	;	estacionamento
27111	;	50	;	403	;	saida
27132	;	49	;	413	;	estacionamento
27149	;	50	;	413	;	saida
27170	;	49	;	415	;	estacionamento
27190	;	50	;	415	;	saida
27212	;	49	;	423	;	estacionamento
27235	;	50	;	423	;	saida
27257	;	49	;	426	;	estacionamento
27264	;	50	;	426	;	saida
27285	;	49	;	455	;	estacionamento
27292	;	50	;	455	;	saida
27313	;	49	;	427	;	estacionamento
27350	;	50	;	427	;	saida
27371	;	49	;	428	;	estacionamento
27413	;	50	;	428	;	saida
27434	;	49	;	430	;	estacionamento
27456	;	50	;	430	;	saida
27477	;	49	;	433	;	estacionamento
27529	;	50	;	433	;	saida
27550	;	49	;	451	;	estacionamento
27602	;	50	;	451	;	saida
27622	;	49	;	387	;	estacionamento
27659	;	50	;	387	;	saida
27680	;	49	;	390	;	estacionamento
27702	;	50	;	390	;	saida
27723	;	49	;	392	;	estacionamento
27770	;	50	;	392	;	saida
27807	;	49	;	393	;	estacionamento
27814	;	50	;	393	;	saida
27835	;	49	;	399	;	estacionamento
27887	;	50	;	399	;	saida
27908	;	49	;	408	;	estacionamento
27920	;	50	;	408	;	saida
27941	;	49	;	409	;	estacionamento
27983	;	50	;	409	;	saida
28004	;	49	;	412	;	estacionamento
28016	;	50	;	412	;	saida
28036	;	49	;	420	;	estacionamento
28083	;	50	;	420	;	saida
28104	;	49	;	444	;	estacionamento
28126	;	50	;	444	;	saida
28147	;	49	;	448	;	estacionamento
28174	;	50	;	448	;	saida
28194	;	49	;	450	;	estacionamento
28221	;	50	;	450	;	saida
28241	;	49	;	414	;	estacionamento
28289	;	50	;	414	;	saida
28309	;	49	;	443	;	estacionamento
28351	;	50	;	443	;	saida
28372	;	49	;	391	;	estacionamento
28419	;	50	;	391	;	saida
28440	;	49	;	396	;	estacionamento
28477	;	50	;	396	;	saida
28499	;	49	;	397	;	estacionamento
28516	;	50	;	397	;	saida
28536	;	49	;	398	;	estacionamento
28558	;	50	;	398	;	saida
28578	;	49	;	402	;	estacionamento
28608	;	50	;	402	;	saida
28631	;	49	;	405	;	estacionamento
28668	;	50	;	405	;	saida
28688	;	49	;	411	;	estacionamento
28710	;	50	;	411	;	saida
28730	;	49	;	418	;	estacionamento
28752	;	50	;	418	;	saida
28773	;	49	;	425	;	estacionamento
28815	;	50	;	425	;	saida
28837	;	49	;	429	;	estacionamento
28889	;	50	;	429	;	saida
28909	;	49	;	434	;	estacionamento
28921	;	50	;	434	;	saida
28941	;	49	;	436	;	estacionamento
28973	;	50	;	436	;	saida
28994	;	49	;	446	;	estacionamento
29021	;	50	;	446	;	saida
31332	;	49	;	612	;	estacionamento
31384	;	48	;	639	;	estacionamento
31415	;	49	;	639	;	saida
31443	;	48	;	581	;	estacionamento
31496	;	49	;	581	;	saida
31525	;	48	;	582	;	estacionamento
31559	;	49	;	582	;	saida
31587	;	48	;	592	;	estacionamento
31641	;	49	;	592	;	saida
31669	;	48	;	594	;	estacionamento
31688	;	49	;	594	;	saida
31727	;	48	;	542	;	estacionamento
31782	;	49	;	542	;	saida
31813	;	48	;	544	;	estacionamento
31832	;	49	;	544	;	saida
31862	;	48	;	584	;	estacionamento
31906	;	49	;	584	;	saida
31936	;	48	;	608	;	estacionamento
31950	;	49	;	608	;	saida
31993	;	48	;	630	;	estacionamento
32041	;	49	;	630	;	saida
32363	;	50	;	612	;	saida
32408	;	49	;	636	;	estacionamento
32422	;	50	;	636	;	saida
32444	;	49	;	563	;	estacionamento
32463	;	50	;	563	;	saida
32489	;	49	;	591	;	estacionamento
32538	;	50	;	591	;	saida
32566	;	49	;	595	;	estacionamento
32581	;	50	;	595	;	saida
32610	;	49	;	533	;	estacionamento
32663	;	50	;	533	;	saida
32692	;	49	;	546	;	estacionamento
32707	;	50	;	546	;	saida
32737	;	49	;	549	;	estacionamento
32772	;	50	;	549	;	saida
32801	;	49	;	569	;	estacionamento
32845	;	50	;	569	;	saida
32874	;	49	;	571	;	estacionamento
32903	;	50	;	571	;	saida
32932	;	49	;	585	;	estacionamento
32957	;	50	;	585	;	saida
32985	;	49	;	638	;	estacionamento
33038	;	50	;	638	;	saida
33062	;	49	;	518	;	estacionamento
33096	;	50	;	518	;	saida
33144	;	49	;	548	;	estacionamento
33183	;	50	;	548	;	saida
33212	;	49	;	562	;	estacionamento
33226	;	50	;	562	;	saida
33254	;	49	;	615	;	estacionamento
33268	;	50	;	615	;	saida
33297	;	49	;	634	;	estacionamento
33339	;	50	;	634	;	saida
33366	;	49	;	504	;	estacionamento
33441	;	50	;	504	;	saida
33472	;	49	;	528	;	estacionamento
33490	;	50	;	528	;	saida
33519	;	49	;	559	;	estacionamento
33533	;	50	;	559	;	saida
33562	;	49	;	600	;	estacionamento
33580	;	50	;	600	;	saida
33608	;	49	;	604	;	estacionamento
33641	;	50	;	604	;	saida
33682	;	49	;	617	;	estacionamento
33721	;	50	;	617	;	saida
33750	;	49	;	637	;	estacionamento
33809	;	50	;	637	;	saida
33834	;	49	;	512	;	estacionamento
33867	;	50	;	512	;	saida
33896	;	49	;	625	;	estacionamento
33949	;	50	;	625	;	saida
33978	;	49	;	570	;	estacionamento
33995	;	50	;	570	;	saida
34025	;	49	;	530	;	estacionamento
34073	;	50	;	530	;	saida
34102	;	49	;	560	;	estacionamento
34141	;	50	;	560	;	saida
34169	;	49	;	485	;	estacionamento
34217	;	50	;	485	;	saida
34245	;	49	;	486	;	estacionamento
34273	;	50	;	486	;	saida
34305	;	49	;	496	;	estacionamento
34323	;	50	;	496	;	saida
34352	;	49	;	527	;	estacionamento
34396	;	50	;	527	;	saida
34424	;	49	;	566	;	estacionamento
34448	;	50	;	566	;	saida
34477	;	49	;	611	;	estacionamento
34496	;	50	;	611	;	saida
34527	;	49	;	489	;	estacionamento
34570	;	50	;	489	;	saida
34601	;	49	;	589	;	estacionamento
34614	;	50	;	589	;	saida
34646	;	49	;	467	;	estacionamento
34680	;	50	;	467	;	saida
34711	;	49	;	471	;	estacionamento
34734	;	50	;	471	;	saida
34765	;	49	;	515	;	estacionamento
34813	;	50	;	515	;	saida
34844	;	49	;	587	;	estacionamento
34886	;	50	;	587	;	saida
34914	;	49	;	614	;	estacionamento
34947	;	50	;	614	;	saida
34978	;	49	;	619	;	estacionamento
35024	;	50	;	619	;	saida
35054	;	49	;	507	;	estacionamento
35103	;	50	;	507	;	saida
35131	;	49	;	574	;	estacionamento
35164	;	50	;	574	;	saida
35192	;	49	;	597	;	estacionamento
35205	;	50	;	597	;	saida
35233	;	49	;	465	;	estacionamento
35246	;	50	;	465	;	saida
35275	;	49	;	531	;	estacionamento
35318	;	50	;	531	;	saida
35347	;	49	;	535	;	estacionamento
35417	;	50	;	535	;	saida
35450	;	49	;	551	;	estacionamento
35497	;	50	;	551	;	saida
35526	;	49	;	609	;	estacionamento
35584	;	50	;	609	;	saida
35613	;	49	;	618	;	estacionamento
35645	;	50	;	618	;	saida
35674	;	49	;	550	;	estacionamento
35712	;	50	;	550	;	saida
35742	;	49	;	631	;	estacionamento
35788	;	50	;	631	;	saida
35816	;	49	;	466	;	estacionamento
35833	;	50	;	466	;	saida
35861	;	49	;	469	;	estacionamento
35885	;	50	;	469	;	saida
35913	;	49	;	503	;	estacionamento
35956	;	50	;	503	;	saida
35986	;	49	;	510	;	estacionamento
36034	;	50	;	510	;	saida
36063	;	49	;	529	;	estacionamento
36081	;	50	;	529	;	saida
36111	;	49	;	534	;	estacionamento
36154	;	50	;	534	;	saida
36182	;	49	;	556	;	estacionamento
36213	;	50	;	556	;	saida
36242	;	49	;	588	;	estacionamento
36279	;	50	;	588	;	saida
36307	;	49	;	610	;	estacionamento
36329	;	50	;	610	;	saida
36358	;	49	;	499	;	estacionamento
36411	;	50	;	499	;	saida
36441	;	49	;	500	;	estacionamento
36488	;	50	;	500	;	saida
36516	;	49	;	509	;	estacionamento
36569	;	50	;	509	;	saida
36599	;	49	;	564	;	estacionamento
36641	;	50	;	564	;	saida
36672	;	49	;	568	;	estacionamento
36703	;	50	;	568	;	saida
36731	;	49	;	577	;	estacionamento
36753	;	50	;	577	;	saida
36783	;	49	;	607	;	estacionamento
36794	;	50	;	607	;	saida
36823	;	49	;	463	;	estacionamento
36855	;	50	;	463	;	saida
36884	;	49	;	468	;	estacionamento
36895	;	50	;	468	;	saida
36924	;	49	;	522	;	estacionamento
36966	;	50	;	522	;	saida
36996	;	49	;	523	;	estacionamento
37007	;	50	;	523	;	saida
37035	;	49	;	572	;	estacionamento
37052	;	50	;	572	;	saida
37080	;	49	;	633	;	estacionamento
37106	;	50	;	633	;	saida
37130	;	49	;	640	;	estacionamento
37142	;	50	;	640	;	saida
37166	;	49	;	641	;	estacionamento
37213	;	50	;	641	;	saida
37236	;	49	;	487	;	estacionamento
37264	;	50	;	487	;	saida
37292	;	49	;	554	;	estacionamento
37334	;	50	;	554	;	saida
37363	;	49	;	599	;	estacionamento
37419	;	50	;	599	;	saida
37448	;	49	;	621	;	estacionamento
37504	;	50	;	621	;	saida
37534	;	49	;	482	;	estacionamento
37560	;	50	;	482	;	saida
37588	;	49	;	483	;	estacionamento
37645	;	50	;	483	;	saida
37674	;	49	;	498	;	estacionamento
37715	;	50	;	498	;	saida
37754	;	49	;	565	;	estacionamento
37811	;	50	;	565	;	saida
37838	;	49	;	567	;	estacionamento
37874	;	50	;	567	;	saida
37902	;	49	;	580	;	estacionamento
37914	;	50	;	580	;	saida
37944	;	49	;	629	;	estacionamento
37988	;	50	;	629	;	saida
38011	;	49	;	464	;	estacionamento
38047	;	50	;	464	;	saida
38078	;	49	;	495	;	estacionamento
38099	;	50	;	495	;	saida
38138	;	49	;	525	;	estacionamento
38176	;	50	;	525	;	saida
38217	;	49	;	537	;	estacionamento
38245	;	50	;	537	;	saida
38316	;	49	;	632	;	estacionamento
38334	;	50	;	632	;	saida
38384	;	49	;	501	;	estacionamento
38411	;	50	;	501	;	saida
38449	;	49	;	520	;	estacionamento
38461	;	50	;	520	;	saida
38494	;	49	;	573	;	estacionamento
38520	;	50	;	573	;	saida
38553	;	49	;	598	;	estacionamento
38569	;	50	;	598	;	saida
38599	;	49	;	460	;	estacionamento
38645	;	50	;	460	;	saida
38710	;	49	;	473	;	estacionamento
38731	;	50	;	473	;	saida
38761	;	49	;	511	;	estacionamento
38807	;	50	;	511	;	saida
38836	;	49	;	601	;	estacionamento
38858	;	50	;	601	;	saida
38886	;	49	;	603	;	estacionamento
38943	;	50	;	603	;	saida
38973	;	49	;	484	;	estacionamento
39018	;	50	;	484	;	saida
39047	;	49	;	493	;	estacionamento
39068	;	50	;	493	;	saida
39097	;	49	;	494	;	estacionamento
39152	;	50	;	494	;	saida
39180	;	49	;	519	;	estacionamento
39210	;	50	;	519	;	saida
39239	;	49	;	539	;	estacionamento
39290	;	50	;	539	;	saida
39320	;	49	;	583	;	estacionamento
39341	;	50	;	583	;	saida
39370	;	49	;	593	;	estacionamento
39395	;	50	;	593	;	saida
39424	;	49	;	478	;	estacionamento
39445	;	50	;	478	;	saida
39474	;	49	;	491	;	estacionamento
39519	;	50	;	491	;	saida
39547	;	49	;	526	;	estacionamento
39558	;	50	;	526	;	saida
39586	;	49	;	541	;	estacionamento
39642	;	50	;	541	;	saida
39672	;	49	;	543	;	estacionamento
39683	;	50	;	543	;	saida
39711	;	49	;	558	;	estacionamento
39762	;	50	;	558	;	saida
39790	;	49	;	606	;	estacionamento
39815	;	50	;	606	;	saida
39858	;	49	;	624	;	estacionamento
39909	;	50	;	624	;	saida
39938	;	49	;	626	;	estacionamento
39984	;	50	;	626	;	saida
40012	;	49	;	508	;	estacionamento
40024	;	50	;	508	;	saida
40052	;	49	;	545	;	estacionamento
40098	;	50	;	545	;	saida
40126	;	49	;	555	;	estacionamento
40162	;	50	;	555	;	saida
40191	;	49	;	476	;	estacionamento
40207	;	50	;	476	;	saida
40235	;	49	;	477	;	estacionamento
40265	;	50	;	477	;	saida
40293	;	49	;	536	;	estacionamento
40308	;	50	;	536	;	saida
40336	;	49	;	462	;	estacionamento
40351	;	50	;	462	;	saida
40378	;	49	;	481	;	estacionamento
40409	;	50	;	481	;	saida
40438	;	49	;	497	;	estacionamento
40484	;	50	;	497	;	saida
40514	;	49	;	575	;	estacionamento
40544	;	50	;	575	;	saida
40571	;	49	;	488	;	estacionamento
40597	;	50	;	488	;	saida
40623	;	49	;	517	;	estacionamento
40644	;	50	;	517	;	saida
40670	;	49	;	547	;	estacionamento
40689	;	50	;	547	;	saida
40717	;	49	;	557	;	estacionamento
40757	;	50	;	557	;	saida
40782	;	49	;	576	;	estacionamento
40802	;	50	;	576	;	saida
40827	;	49	;	602	;	estacionamento
40857	;	50	;	602	;	saida
40882	;	49	;	479	;	estacionamento
40932	;	50	;	479	;	saida
40956	;	49	;	524	;	estacionamento
40966	;	50	;	524	;	saida
40999	;	49	;	470	;	estacionamento
41050	;	50	;	470	;	saida
41075	;	49	;	474	;	estacionamento
41125	;	50	;	474	;	saida
41152	;	49	;	480	;	estacionamento
41202	;	50	;	480	;	saida
41227	;	49	;	513	;	estacionamento
41237	;	50	;	513	;	saida
41260	;	49	;	516	;	estacionamento
41295	;	50	;	516	;	saida
41319	;	49	;	521	;	estacionamento
41344	;	50	;	521	;	saida
41368	;	49	;	635	;	estacionamento
41401	;	50	;	635	;	saida
41421	;	49	;	475	;	estacionamento
41475	;	50	;	475	;	saida
41500	;	49	;	502	;	estacionamento
41545	;	50	;	502	;	saida
41570	;	49	;	505	;	estacionamento
41625	;	50	;	505	;	saida
41658	;	49	;	514	;	estacionamento
41708	;	50	;	514	;	saida
41734	;	49	;	538	;	estacionamento
41778	;	50	;	538	;	saida
41803	;	49	;	552	;	estacionamento
41828	;	50	;	552	;	saida
41851	;	49	;	578	;	estacionamento
41875	;	50	;	578	;	saida
41902	;	49	;	590	;	estacionamento
41937	;	50	;	590	;	saida
41961	;	49	;	622	;	estacionamento
41976	;	50	;	622	;	saida
41999	;	49	;	628	;	estacionamento
42028	;	50	;	628	;	saida
42047	;	49	;	579	;	estacionamento
42081	;	50	;	579	;	saida
42105	;	49	;	472	;	estacionamento
42150	;	50	;	472	;	saida
42175	;	49	;	490	;	estacionamento
42199	;	50	;	490	;	saida
42223	;	49	;	492	;	estacionamento
42247	;	50	;	492	;	saida
42270	;	49	;	506	;	estacionamento
42287	;	50	;	506	;	saida
42313	;	49	;	532	;	estacionamento
42348	;	50	;	532	;	saida
42371	;	49	;	540	;	estacionamento
42391	;	50	;	540	;	saida
42414	;	49	;	553	;	estacionamento
42433	;	50	;	553	;	saida
42457	;	49	;	561	;	estacionamento
42485	;	50	;	561	;	saida
42512	;	49	;	586	;	estacionamento
42561	;	50	;	586	;	saida
42586	;	49	;	596	;	estacionamento
42605	;	50	;	596	;	saida
42630	;	49	;	616	;	estacionamento
42644	;	50	;	616	;	saida
42668	;	49	;	623	;	estacionamento
42701	;	50	;	623	;	saida
42728	;	49	;	627	;	estacionamento
42782	;	50	;	627	;	saida
42801	;	49	;	620	;	estacionamento
42810	;	50	;	620	;	saida
42826	;	49	;	613	;	estacionamento
42868	;	50	;	613	;	saida
42904	;	49	;	605	;	estacionamento
42921	;	50	;	605	;	saida
42947	;	49	;	459	;	estacionamento
42975	;	50	;	459	;	saida
43468	;	49	;	681	;	estacionamento
43509	;	50	;	681	;	saida
43532	;	49	;	691	;	estacionamento
43542	;	50	;	691	;	saida
43565	;	49	;	683	;	estacionamento
43580	;	50	;	683	;	saida
43602	;	49	;	690	;	estacionamento
43611	;	50	;	690	;	saida
43632	;	49	;	670	;	estacionamento
43647	;	50	;	670	;	saida
43671	;	49	;	672	;	estacionamento
43686	;	50	;	672	;	saida
43710	;	49	;	678	;	estacionamento
43724	;	50	;	678	;	saida
43748	;	49	;	684	;	estacionamento
43803	;	50	;	684	;	saida
43828	;	49	;	685	;	estacionamento
43873	;	50	;	685	;	saida
43897	;	49	;	675	;	estacionamento
43951	;	50	;	675	;	saida
43974	;	49	;	654	;	estacionamento
44009	;	50	;	654	;	saida
44033	;	49	;	655	;	estacionamento
44082	;	50	;	655	;	saida
44108	;	49	;	656	;	estacionamento
44142	;	50	;	656	;	saida
44168	;	49	;	657	;	estacionamento
44193	;	50	;	657	;	saida
44217	;	49	;	659	;	estacionamento
44256	;	50	;	659	;	saida
44279	;	49	;	662	;	estacionamento
44304	;	50	;	662	;	saida
44327	;	49	;	665	;	estacionamento
44341	;	50	;	665	;	saida
44364	;	49	;	666	;	estacionamento
44411	;	50	;	666	;	saida
44439	;	49	;	674	;	estacionamento
44449	;	50	;	674	;	saida
44473	;	49	;	676	;	estacionamento
44493	;	50	;	676	;	saida
44517	;	49	;	680	;	estacionamento
44567	;	50	;	680	;	saida
44590	;	49	;	686	;	estacionamento
44600	;	50	;	686	;	saida
44622	;	49	;	689	;	estacionamento
44637	;	50	;	689	;	saida
44663	;	49	;	692	;	estacionamento
44708	;	50	;	692	;	saida
44731	;	49	;	646	;	estacionamento
44740	;	50	;	646	;	saida
44763	;	49	;	647	;	estacionamento
44777	;	50	;	647	;	saida
44799	;	49	;	651	;	estacionamento
44853	;	50	;	651	;	saida
44876	;	49	;	664	;	estacionamento
44885	;	50	;	664	;	saida
44908	;	49	;	673	;	estacionamento
44961	;	50	;	673	;	saida
44984	;	49	;	677	;	estacionamento
45032	;	50	;	677	;	saida
45055	;	49	;	648	;	estacionamento
45099	;	50	;	648	;	saida
45121	;	49	;	649	;	estacionamento
45140	;	50	;	649	;	saida
45162	;	49	;	650	;	estacionamento
45201	;	50	;	650	;	saida
45221	;	49	;	652	;	estacionamento
45275	;	50	;	652	;	saida
45293	;	49	;	653	;	estacionamento
45347	;	50	;	653	;	saida
45368	;	49	;	658	;	estacionamento
45402	;	50	;	658	;	saida
45421	;	49	;	660	;	estacionamento
45454	;	50	;	660	;	saida
45472	;	49	;	661	;	estacionamento
45520	;	50	;	661	;	saida
45539	;	49	;	663	;	estacionamento
45567	;	50	;	663	;	saida
45587	;	49	;	667	;	estacionamento
45630	;	50	;	667	;	saida
45649	;	49	;	668	;	estacionamento
45663	;	50	;	668	;	saida
45681	;	49	;	669	;	estacionamento
45729	;	50	;	669	;	saida
45748	;	49	;	671	;	estacionamento
45802	;	50	;	671	;	saida
45820	;	49	;	679	;	estacionamento
45864	;	50	;	679	;	saida
45882	;	49	;	682	;	estacionamento
45921	;	50	;	682	;	saida
45939	;	49	;	687	;	estacionamento
45991	;	50	;	687	;	saida
46010	;	49	;	688	;	estacionamento
46027	;	50	;	688	;	saida
46047	;	49	;	693	;	estacionamento
46075	;	50	;	693	;	saida
46104	;	49	;	694	;	estacionamento
46157	;	50	;	694	;	saida
46181	;	49	;	695	;	estacionamento
46195	;	50	;	695	;	saida
46215	;	49	;	696	;	estacionamento
46248	;	50	;	696	;	saida
46282	;	49	;	697	;	estacionamento
46301	;	50	;	697	;	saida
46331	;	49	;	698	;	estacionamento
46355	;	50	;	698	;	saida
46381	;	49	;	699	;	estacionamento
46429	;	50	;	699	;	saida
46463	;	49	;	700	;	estacionamento
46473	;	50	;	700	;	saida
46493	;	49	;	701	;	estacionamento
46501	;	50	;	701	;	saida
46524	;	49	;	645	;	estacionamento
46532	;	50	;	645	;	saida
46557	;	49	;	702	;	estacionamento
46601	;	50	;	702	;	saida
46625	;	49	;	703	;	estacionamento
46658	;	50	;	703	;	saida
46684	;	49	;	704	;	estacionamento
46717	;	50	;	704	;	saida
46742	;	49	;	705	;	estacionamento
46771	;	50	;	705	;	saida
46801	;	49	;	706	;	estacionamento
46834	;	50	;	706	;	saida
46859	;	49	;	707	;	estacionamento
46886	;	50	;	707	;	saida
46911	;	49	;	708	;	estacionamento
46954	;	50	;	708	;	saida
46985	;	49	;	644	;	estacionamento
47023	;	50	;	644	;	saida
47043	;	49	;	709	;	estacionamento
47087	;	50	;	709	;	saida
47111	;	49	;	710	;	estacionamento
47135	;	50	;	710	;	saida
47159	;	49	;	711	;	estacionamento
47183	;	50	;	711	;	saida
47207	;	49	;	712	;	estacionamento
47231	;	50	;	712	;	saida
47258	;	49	;	713	;	estacionamento
47286	;	50	;	713	;	saida
47311	;	49	;	714	;	estacionamento
47349	;	50	;	714	;	saida
47369	;	49	;	715	;	estacionamento
47376	;	50	;	715	;	saida
47411	;	49	;	716	;	estacionamento
47444	;	50	;	716	;	saida
47470	;	49	;	717	;	estacionamento
47498	;	50	;	717	;	saida
47523	;	49	;	718	;	estacionamento
47541	;	50	;	718	;	saida
47566	;	49	;	719	;	estacionamento
47614	;	50	;	719	;	saida
47639	;	49	;	720	;	estacionamento
47652	;	50	;	720	;	saida
47677	;	49	;	643	;	estacionamento
47721	;	50	;	643	;	saida
47743	;	49	;	721	;	estacionamento
47761	;	50	;	721	;	saida
47786	;	49	;	722	;	estacionamento
47809	;	50	;	722	;	saida
47830	;	49	;	723	;	estacionamento
47857	;	50	;	723	;	saida
47885	;	49	;	724	;	estacionamento
47933	;	50	;	724	;	saida
47957	;	49	;	725	;	estacionamento
48002	;	50	;	725	;	saida
48030	;	49	;	726	;	estacionamento
48083	;	50	;	726	;	saida
48109	;	49	;	727	;	estacionamento
48143	;	50	;	727	;	saida
48162	;	49	;	728	;	estacionamento
48170	;	50	;	728	;	saida
48202	;	49	;	729	;	estacionamento
48225	;	50	;	729	;	saida
48269	;	49	;	730	;	estacionamento
48297	;	50	;	730	;	saida
48323	;	49	;	731	;	estacionamento
48366	;	50	;	731	;	saida
48392	;	49	;	732	;	estacionamento
48410	;	50	;	732	;	saida
48436	;	49	;	733	;	estacionamento
48489	;	50	;	733	;	saida
48527	;	49	;	734	;	estacionamento
48556	;	50	;	734	;	saida
48582	;	49	;	735	;	estacionamento
48610	;	50	;	735	;	saida
48636	;	49	;	736	;	estacionamento
48655	;	50	;	736	;	saida
48680	;	49	;	737	;	estacionamento
48728	;	50	;	737	;	saida
48748	;	49	;	738	;	estacionamento
48766	;	50	;	738	;	saida
48795	;	49	;	739	;	estacionamento
48840	;	50	;	739	;	saida
48865	;	49	;	740	;	estacionamento
48878	;	50	;	740	;	saida
48898	;	49	;	642	;	estacionamento
48951	;	50	;	642	;	saida
48979	;	49	;	741	;	estacionamento
49007	;	50	;	741	;	saida
49033	;	49	;	742	;	estacionamento
49062	;	50	;	742	;	saida
49085	;	49	;	743	;	estacionamento
49107	;	50	;	743	;	saida
49135	;	49	;	744	;	estacionamento
49172	;	50	;	744	;	saida
49197	;	49	;	745	;	estacionamento
49215	;	50	;	745	;	saida
49245	;	49	;	746	;	estacionamento
49263	;	50	;	746	;	saida
49290	;	49	;	747	;	estacionamento
49343	;	50	;	747	;	saida
49363	;	49	;	748	;	estacionamento
49371	;	50	;	748	;	saida
49396	;	49	;	749	;	estacionamento
49410	;	50	;	749	;	saida
49429	;	49	;	750	;	estacionamento
49482	;	50	;	750	;	saida
49510	;	49	;	751	;	estacionamento
49548	;	50	;	751	;	saida
49584	;	49	;	752	;	estacionamento
49627	;	50	;	752	;	saida
49652	;	49	;	753	;	estacionamento
49676	;	50	;	753	;	saida
49706	;	49	;	754	;	estacionamento
49713	;	50	;	754	;	saida
49738	;	49	;	755	;	estacionamento
49785	;	50	;	755	;	saida
49805	;	49	;	756	;	estacionamento
49818	;	50	;	756	;	saida
49848	;	49	;	757	;	estacionamento
49856	;	50	;	757	;	saida
49875	;	49	;	758	;	estacionamento
49893	;	50	;	758	;	saida
49923	;	49	;	759	;	estacionamento
49962	;	50	;	759	;	saida
49987	;	49	;	760	;	estacionamento
49996	;	50	;	760	;	saida
50020	;	49	;	761	;	estacionamento
50069	;	50	;	761	;	saida
50096	;	49	;	762	;	estacionamento
50120	;	50	;	762	;	saida
50146	;	49	;	763	;	estacionamento
50196	;	50	;	763	;	saida
50223	;	49	;	764	;	estacionamento
50231	;	50	;	764	;	saida
50251	;	49	;	765	;	estacionamento
50284	;	50	;	765	;	saida
50311	;	49	;	766	;	estacionamento
50366	;	50	;	766	;	saida
50393	;	49	;	767	;	estacionamento
50431	;	50	;	767	;	saida
50456	;	49	;	768	;	estacionamento
50473	;	50	;	768	;	saida
50496	;	49	;	769	;	estacionamento
50518	;	50	;	769	;	saida
50541	;	49	;	770	;	estacionamento
50589	;	50	;	770	;	saida
50612	;	49	;	771	;	estacionamento
50659	;	50	;	771	;	saida
50684	;	49	;	772	;	estacionamento
50711	;	50	;	772	;	saida
50733	;	49	;	773	;	estacionamento
50771	;	50	;	773	;	saida
50793	;	49	;	774	;	estacionamento
50840	;	50	;	774	;	saida
50862	;	49	;	775	;	estacionamento
50900	;	50	;	775	;	saida
50923	;	49	;	776	;	estacionamento
50950	;	50	;	776	;	saida
50972	;	49	;	777	;	estacionamento
51014	;	50	;	777	;	saida
51045	;	49	;	778	;	estacionamento
51078	;	50	;	778	;	saida
51100	;	49	;	779	;	estacionamento
51147	;	50	;	779	;	saida
51169	;	49	;	780	;	estacionamento
51181	;	50	;	780	;	saida
51203	;	49	;	781	;	estacionamento
51225	;	50	;	781	;	saida
51246	;	49	;	782	;	estacionamento
51274	;	50	;	782	;	saida
51296	;	49	;	783	;	estacionamento
51348	;	50	;	783	;	saida
51369	;	49	;	784	;	estacionamento
51392	;	50	;	784	;	saida
51415	;	49	;	785	;	estacionamento
51453	;	50	;	785	;	saida
51474	;	49	;	786	;	estacionamento
51482	;	50	;	786	;	saida
51503	;	49	;	787	;	estacionamento
51540	;	50	;	787	;	saida
51561	;	49	;	788	;	estacionamento
51599	;	50	;	788	;	saida
51620	;	49	;	789	;	estacionamento
51638	;	50	;	789	;	saida
51659	;	49	;	790	;	estacionamento
51671	;	50	;	790	;	saida
51692	;	49	;	791	;	estacionamento
51714	;	50	;	791	;	saida
51748	;	49	;	792	;	estacionamento
51785	;	50	;	792	;	saida
51807	;	49	;	793	;	estacionamento
51820	;	50	;	793	;	saida
51842	;	49	;	794	;	estacionamento
51849	;	50	;	794	;	saida
51872	;	49	;	795	;	estacionamento
51889	;	50	;	795	;	saida
51910	;	49	;	796	;	estacionamento
51937	;	50	;	796	;	saida
51958	;	49	;	797	;	estacionamento
